exercise_id,title,body_region,indication,therapy_goal,difficulty,equipment,position,description,tags,contraindication_note,review_status
ex_022,Shoulder Strength With Theraband,shoulder,strength_rebuild,strength,intermediate,theraband,standing,Theraband shoulder strength demo item for equipment-specific requests.,shoulder;strength;theraband,Demo content only. Requires professional review before real use.,approved
ex_023,Advanced Shoulder Coordination,shoulder,posture_training,coordination,advanced,none,standing,Advanced shoulder coordination demo record for higher difficulty matching.,shoulder;coordination;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_024,Mat Shoulder Mobility Lying,shoulder,mobility_limitation,mobility,beginner,mat,lying,Lying shoulder mobility demo content for mat-based matching.,shoulder;mobility;mat;lying,Demo content only. Requires professional review before real use.,approved
ex_025,Hip Mobility Sitting Demo,hip,mobility_limitation,mobility,beginner,chair,sitting,Seated hip mobility demo item for beginner content requests.,hip;mobility;chair;sitting;beginner,Demo content only. Requires professional review before real use.,approved
ex_026,Hip Stability With Miniband,hip,strength_rebuild,stability,intermediate,miniband,standing,Miniband hip stability demo content for equipment-aware matching.,hip;stability;miniband,Demo content only. Requires professional review before real use.,approved
ex_027,No Equipment Hip Control,hip,home_training,coordination,beginner,none,standing,No-equipment hip control demo item for home-training lookup.,hip;coordination;none;home,Demo content only. Requires professional review before real use.,approved
ex_028,Hip Strength On Mat,hip,strength_rebuild,strength,intermediate,mat,lying,Mat-based hip strength demo record for synthetic matching.,hip;strength;mat;intermediate,Demo content only. Requires professional review before real use.,approved
ex_029,Advanced Hip Balance Reach,hip,balance_training,balance,advanced,none,standing,Advanced hip balance demo item for difficulty differentiation.,hip;balance;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_030,Chair Assisted Hip Endurance,hip,home_training,endurance,intermediate,chair,standing,Chair-assisted hip endurance demo content for home programs.,hip;endurance;chair,Demo content only. Requires professional review before real use.,approved
ex_031,Ankle Mobility Sitting Demo,ankle,early_stage_rehab,mobility,beginner,chair,sitting,Seated ankle mobility demo item for early-stage matching.,ankle;mobility;chair;sitting,Demo content only. Requires professional review before real use.,approved
ex_032,Ankle Stability No Equipment,ankle,balance_training,stability,beginner,none,standing,No-equipment ankle stability demo content for balance requests.,ankle;stability;none;beginner,Demo content only. Requires professional review before real use.,approved
ex_033,Ankle Strength With Towel,ankle,strength_rebuild,strength,intermediate,towel,sitting,Towel-based ankle strength demo item for equipment-specific search.,ankle;strength;towel;sitting,Demo content only. Requires professional review before real use.,approved
ex_034,Wall Supported Ankle Balance,ankle,balance_training,balance,intermediate,wall,standing,Wall-supported ankle balance demo record for conservative matching.,ankle;balance;wall,Demo content only. Requires professional review before real use.,approved
ex_035,Advanced Ankle Coordination,ankle,strength_rebuild,coordination,advanced,none,standing,Advanced ankle coordination demo item for high-difficulty matching.,ankle;coordination;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_036,Neck Mobility Sitting Demo,neck,posture_training,mobility,beginner,chair,sitting,Seated neck mobility demo item for posture-related requests.,neck;mobility;chair;sitting,Demo content only. Requires professional review before real use.,approved
ex_037,Neck Relaxation No Equipment,neck,posture_training,relaxation,beginner,none,sitting,No-equipment neck relaxation demo content for short home sessions.,neck;relaxation;none;sitting,Demo content only. Requires professional review before real use.,approved
ex_038,Wall Posture Neck Awareness,neck,posture_training,coordination,intermediate,wall,standing,Wall-based neck posture awareness demo item for matching only.,neck;coordination;wall;posture,Demo content only. Requires professional review before real use.,approved
ex_039,Towel Assisted Neck Mobility,neck,mobility_limitation,mobility,intermediate,towel,sitting,Towel-assisted neck mobility demo record for equipment-aware matching.,neck;mobility;towel,Demo content only. Requires professional review before real use.,approved
ex_040,Advanced Neck Stability Demo,neck,strength_rebuild,stability,advanced,none,standing,Advanced neck stability demo content for synthetic difficulty matching.,neck;stability;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_041,Chair Sit To Stand Demo,general,home_training,strength,beginner,chair,sitting,Chair-based general strength demo item for home-training matching.,general;strength;chair;beginner,Demo content only. Requires professional review before real use.,approved
ex_042,Standing Balance No Equipment,general,balance_training,balance,beginner,none,standing,No-equipment standing balance demo content for general requests.,general;balance;none,Demo content only. Requires professional review before real use.,approved
ex_043,Mat Coordination All Fours,general,general_rehab,coordination,intermediate,mat,all_fours,Mat-based all-fours coordination demo item for general rehab matching.,general;coordination;mat;all_fours,Demo content only. Requires professional review before real use.,approved
ex_044,Theraband Full Body Strength Demo,general,strength_rebuild,strength,intermediate,theraband,standing,Theraband general strength demo content for equipment-specific matching.,general;strength;theraband,Demo content only. Requires professional review before real use.,approved
ex_045,Wall Supported Posture Demo,general,posture_training,stability,beginner,wall,standing,Wall-supported posture stability demo item for synthetic workflows.,general;posture;wall;stability,Demo content only. Requires professional review before real use.,approved
ex_046,Home Endurance No Equipment,general,home_training,endurance,intermediate,none,standing,No-equipment general endurance demo content for home programs.,general;endurance;none;home,Demo content only. Requires professional review before real use.,approved
ex_047,Relaxation On Mat Demo,general,general_rehab,relaxation,beginner,mat,lying,Mat-based relaxation demo item for non-prescriptive content matching.,general;relaxation;mat,Demo content only. Requires professional review before real use.,approved
ex_048,Advanced Coordination Standing,general,balance_training,coordination,advanced,none,standing,Advanced standing coordination demo content for difficulty separation.,general;coordination;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_049,Towel Mobility General Demo,general,mobility_limitation,mobility,beginner,towel,sitting,Towel-based general mobility demo record for simple request matching.,general;mobility;towel;sitting,Demo content only. Requires professional review before real use.,approved
ex_050,Miniband General Stability,general,strength_rebuild,stability,intermediate,miniband,standing,Miniband general stability demo item for equipment-aware matching.,general;stability;miniband,Demo content only. Requires professional review before real use.,approved
